ausg_beityp,ausg_emp,ausg_degr,ausg_hoefl,ausg_ehrl,ausg_posemo,ausg_negemo,ausg_humor,ausg_frage,ausg_korr,ausg_zus,ausg_meta,ausg_mod
11,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,13,0,0,0,0
212,0,0,0,0,0,0,0,13,0,0,0,0
212,0,0,0,0,0,0,0,13,0,0,0,0
222,0,0,1,0,0,0,0,0,0,0,10,0
212,0,0,0,0,0,0,0,13,0,0,0,0
212,0,1,0,0,0,0,0,13,0,0,0,0
212,0,0,0,0,0,0,0,13,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
212,0,1,0,0,0,0,0,13,0,0,0,0
222,0,0,1,0,0,0,0,0,0,0,10,0
211,0,0,0,0,0,0,0,0,0,0,20,0
212,0,1,0,0,0,0,0,13,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,20,0
21,0,0,0,0,0,11,0,13,0,0,0,0
213,0,1,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,12,0,0,20,0
222,2,9,0,9,0,11,0,0,0,0,0,0
213,0,1,0,0,0,0,0,0,0,0,0,0
222,2,9,0,9,0,11,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0
212,0,1,0,0,0,0,0,0,0,0,12,0
11,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,12,0,0,20,0
212,0,1,0,0,0,0,0,13,0,0,0,0
212,0,1,0,0,0,0,0,0,0,0,12,0
20,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,10,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,20,0
222,0,0,0,0,0,0,1,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,13,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0
212,0,1,0,0,0,0,0,13,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
213,0,1,0,0,0,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,1,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,1,0,0,0,12,1,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,10,0,0,0,0,0,0,0
12,0,0,0,0,10,0,0,0,0,0,0,0
12,0,0,0,0,10,0,0,0,0,0,0,0
12,0,0,0,0,10,0,0,0,0,0,0,0
12,0,0,0,0,10,0,0,0,0,0,0,0
12,0,0,0,0,10,0,0,0,0,0,0,0
11,0,3,0,0,0,0,0,0,0,0,0,0
11,0,3,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,12,0,0,20,0
11,0,3,0,0,0,0,0,0,0,0,0,0
11,0,3,0,0,0,0,0,0,0,0,0,0
211,0,3,0,0,0,0,0,11,0,0,0,0
211,0,0,0,0,0,0,0,12,0,0,20,0
211,0,3,0,0,0,0,0,0,0,0,11,10
214,0,3,0,0,0,0,0,12,0,0,0,0
211,2,3,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0
11,0,3,0,0,0,0,0,0,0,0,0,0
11,0,3,0,0,0,0,0,0,0,0,0,0
11,0,3,0,0,0,0,0,0,0,0,0,0
214,0,3,0,0,0,0,0,13,0,0,0,0
211,0,3,0,0,0,0,0,11,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0
211,0,0,0,0,0,0,1,11,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,14,0,11,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
224,0,0,0,0,0,14,0,11,0,0,0,0
212,0,0,0,0,0,0,0,0,2,0,0,0
213,0,0,0,0,0,0,0,11,0,0,0,0
224,0,0,0,0,0,14,0,11,0,0,0,0
224,0,0,0,0,0,14,0,11,0,0,0,0
12,0,0,0,0,0,11,0,13,0,0,0,0
12,0,0,0,0,0,11,0,13,0,0,0,0
224,0,3,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
